place_id,review
ChIJPe6kAKONbzQR4P4I1CExJFs,"櫃檯客客氣氣，且算相對重視防疫的店家，疫情期間僅提供外帶。運用在地特色鮪魚醬炒出來的飯其它地方應該很難吃到，蠻大一份也蠻好吃的，粒粒分明，飯不會過乾、菜還是脆的，鮪魚醬跟飯確確實實結合在一起，不過它個性太強，有稍微搶走其他元素的存在感。註：以上為本人感想，每個人的觀感不同，心得僅供參考。炒泡麵加辣好吃，重點是最下面還會藏一顆荷包蛋，每次吃每次忘記，麵一挖才發現，在綠島一個半月最常吃的小吃肉絲炒飯偏油，鮪魚醬炒飯太鹹鍋燒烏龍有三顆蛤蜊，cp值高鮪魚醬炒飯蠻特別的，有點辣，海草炒蛋吃不太出特殊之處。份量滿多的但價格也不便宜口味不錯，便當裝的滿滿滿可以吃飽飽。目前不開放內用，不過店裡面好像沒冷氣，真要裡面吃會比較熱。因疫情關係只能外帶，要前往的朋友也可以自備容器減少一次性餐盒使用。鮪魚醬炒飯份量超多，食量小的人可以兩人共分一份沒問題，鮪魚炒蛋也是份量滿多，炒泡麵和水餃雖然沒前面兩道驚艷但也還不錯，整體來講是個平價又好吃的小吃店。"
ChIJcZ4UVwmNbzQRE1BPTM6K4TU,"氣氛很棒，如果喜歡露營的人應該會喜歡這種感覺，很適合三五好友來放鬆獨立式的帳篷設計，一帳大概可以坐4個人（剛好隔壁有島上的小幫手相約來聊天看到店家把帳篷一面拆開讓兩個帳篷連在一起，所以人多也沒關係）因為帳篷斜斜的，稍微坐直背就會撞到帳篷一直彎腰駝背會有點不太舒服（高個子可能會有點辛苦）沒辦法坐很久當天下過雨，所以帳篷內聚集了滿多飛蟻一直掉在身上調酒蠻好喝的，酒精濃度中等整體來說很喜歡～很好拍照1.熱到靠北而且非常擁擠（不推薦四人以上來）我們那桌有六個人只給兩個小電風扇大家還要輪流爆汗輪流吹⋯2.調酒表現都很差點了一杯有芒果和百香果的調酒，不但沒有百香果味喝起來還很苦朋友詢問店員某兩款調酒哪裡有差別，店員回答不出來，僅說這兩款很像，結果朋友不幸點到一杯藍色糖漿（超難喝⋯）飛魚卵香腸熱壓土司還可以給過，不過島價，這裡真的不推薦給想要來好好喝酒的人調酒小島戀曲不錯，喝起來像有酒味的草莓優酪乳，達悟族傳說熱壓吐司普通，帳篷內有兩個小電扇，適合跟朋友聊天！帳篷搭配燈光超美～酒還不錯，潛水人生很炫炮，不過喝起來普通；貝里斯奶酒很讚；天蠍座喝起來還不錯。下雨的話可以換到半室內的座位區在綠島一杯調酒要200-400元真的不便宜而這間最有氛圍的就是小帳篷座位區要是沒等到的話建議可以直接換別間不然也不是那麼值得"
ChIJnQR92wuNbzQRtaxcKwFxY9E,"綠島有很多的熱炒餐廳，這間有羊肉爐，一樣因為是朋友朋友的餐廳，我們一行30人特地來捧場，口味上還可以喜歡他們的飛魚子香腸跟泡菜，食材還算新鮮～其他顧著吃沒拍到😂意外的讚爆！用餐當天旺季大街全滿來到這家店人不多加上看評論本來很擔心沒想到一入口完全就是過年長輩煮飯的美味啊啊回鍋肉超級入味馬上掃光塔香雞柳超下飯金沙花枝超好吃唰嘴～老闆娘阿姨也很親切對了也很推薦海燕窩～～喝起來像是仙草很清爽推推！這可能吃過一次後就不會再上門的店吧～菜少到可憐差不多一人一口就沒了不是太老就太鹹除了羊肉爐以外都不推薦調味偏死鹹雷到爆，爛掉的高麗菜也入湯，凍豆腐滿滿的臭味，米血乾硬。。。。在外面看到滿滿的人潮，結果是團體客，共餐被對方領隊辦有獎爭答活動吵翻。醬料也只有鹹味的豆辦醬一種。餐具區小強到處串。我們隔壁桌最是帥氣，點了一桌菜，吃不到五分之一就丟著走人了。"
ChIJ7QwOhJ-NbzQR6uR9mlgRFu4,"ㄧ、光顧原因我經過剛好看到招牌寫素食料理（附設），怕接下來沒得吃，正好也想吃海草蛋餅，就進來看看。二、口味（ㄧ）素食炒麵：70元。價格很佛心。有香菇、木耳、杏鮑菇、紅蘿蔔絲、高麗菜翠綠新鮮且多，有湯鑊味，熱炒好吃耶！份量不少，不油膩，吃完炒麵盤底剩一層油，但吃時不覺得，吃光光。炒飯也是70元，我這次沒點。（二）素食海草蛋餅：180元我指著某個大盤子問櫃台，他說就那麼大。好吃，嚴格說應該是海草煎蛋，無海草味，無腥味；但海草不少。店家沒法做個人份的海草蛋餅，我自以為很有「食」力——今天午餐沒吃，只吃一包餅乾；結果只吃四分之一，店家用小紙盒及手提塑膠袋打包，我轉送室友，把胃的空間留給海草冰。隔壁桌白飯1碗10元，很佛心。本島通常15元起跳。三、環境衛生一樓只有窄小空間及指標，要走一個長陡梯，樓梯旁都是海洋生物彩繪，很好拍。到2樓時才發現也是宴會場地，非常大，各桌之間有較寬的距離。裝潢一般，衛生乾淨。許多團體正在用餐，我自己一大桌。櫃檯旁附設瓶罐裝飲料區。四、服務態度生意很好，我問櫃檯時，工作人員正忙著幫兩組客人點餐及結帳，但還是耐心客氣地回答我的問題及訂餐，上菜也滿快，真讚！五、停車我18:40到差點沒有機車位，可以停整排機車；但汽車最好另找地點。六、總評綠島離本島比較近，所以物價不會差很多。很難得葷素皆有的餐廳有這麼美味可口的素食，而且無葷食味道。餐廳場地廣闊，海鮮新鮮、菜餚美味。今天點了海草蛋沒有點泡泡蛋。每一道菜都調味合適、涼筍還是冰的。炒飯份量算大份量，中午天氣熱要酌量。上菜很迅速，整體來說是可以推薦大家來吃的唷～今天點了：高麗菜、涼筍、海草蛋、鹹豬肉、鹹魚炒飯、羊肉炒飯、海瓜子、花枝丸。份量足夠、CP值算高且上菜速度快，但菜色口味偏油（不知道是不是綠島一般口味偏油），但炒豬肉極硬，完全咬不動打卡給予五星評價可贈情人果冰一盤料多味美又實在老闆給料很豪邁菜單上滿滿好菜再訪綠島會再來*1.對我們吃方便素的人來說非常適合2.入口長梯兩旁的彩繪很漂亮，走過時不要錯過空間超大，場地超大，用餐很舒服上菜也是一次過好快，不用等很久200塊的生魚片竟然都是大塊，不薄的，而且沒有筋，好開心比起非炒不可的，我覺得這裡更好吃，更划算我們點了兩人套餐600元，比單點划算。"
ChIJlZ9ACNSNbzQRT1NNBgDQM-U,"看到照片還是會流口水！早上11點開始，晚上則是酒吧！只要購買任一漢堡，憑收據19:00後就可以享有台虎生啤買一送一。麵包皮上面蓋了野のLogo，烤味香氣十足，單點一顆就可以吃很飽了。(男生可能還是要點套餐)松露歐姆蛋堡：加了起司和培根，歐姆蛋厚度不只一顆，裡面嫩度是咬下去會滴在手上，醬汁不會太鹹，生菜也給的很大方，整顆漢堡吃完清爽，也不會感覺有很大負擔。BBQ牛魔王：朋友吃的，漢堡本身有辣度，不會到要配水的辣，夾層的肉好吃，配上新鮮洋蔥，整個很有層次。🍔松露歐姆蛋堡💰160🍔BBQ牛魔王💰170🍟薯條+飲料副餐💰100🥓+培根💰10🧀️+起司💰10🌟現點現做無預約、無訂位服務早上已經先預訂，進來已經等20分鐘了⋯⋯⋯老闆先送了小盤（堵嘴⋯⋯😅😅我們30個人，大大小小都有。預定了也接近30個。31分鐘後，老闆先端來18個漢堡接著上完全部。還好是午餐，早餐才剛吃完沒多久不會太餓。看到等45分鐘的評論，不知道該鼓勵還是⋯食物部分，在綠島這邊競爭者少些應該是已經很好了，漢堡排可以，沒有到很好。麵包很還好⋯乾乾的有些卡嘴。感受得到老闆的熱情。環境氣氛不錯。4星是因時因地，要吃超美味超有服務的千萬不要期待。生意非常好！在還沒開店前就有長長人龍，11點開，我10:34分到已經是第4組人了，除了有露天看台可以坐以外，後方咖啡廳也有座位可以好好坐著享用。漢堡不管哪種，花生醬都醬爆！且他們的花生醬是有顆粒的那種，喜歡花生醬的朋友千萬別錯過這裡喔！是好吃的漢堡，菜很多肉也多汁，但份量有點少，一個女生吃不飽，一顆要170也不便宜，但綠島的物價似乎偏高，這算是可接受的價格了生意相當好，要有等待的心理準備。第一次抱著試試看的心情買了蠻驚艷的，雖然單價偏高但份量十足，很致肥但醬汁很濃郁😂之後再來綠島又來買，大家點不同口味的都很好吃，最推花生牛魔王跟BBQ牛魔王👍"
ChIJH0v-lIyNbzQRBNytnYp6zxw,"因朋友大力推薦而來一開始google評價看到一些負評還有點擔心但還是來嘗試看看幸好有來真的超級好吃！和平常吃到的羊肉爐不同平常吃到的都是味道很濃喝幾口湯就膩了很躁熱這邊是比較偏向清燉的口感且湯頭甘甜越熬越好喝！個人覺得必須加玉米和高麗菜來熬湯❤️羊肉口感軟嫩搭配店家醬汁超好吃去綠島三天兩夜就吃了兩天羊肉爐～第二天還外帶回民宿吃😂老闆很親切很阿莎力喲！如果還要來綠島肯定是為了吃羊肉爐而來💕屬於藥膳口味的羊肉爐，完全沒有羊騷味，湯頭帶著微微的藥膳味，非常順口好吃😋，老闆與老闆娘非常親切，還會桌桌巡視是否需要加湯，價錢也非常實惠，值得推薦，為何照片是一片狼籍，因為太好吃了😆，忘記拍，兩個人完食一大鍋👍🏻👍🏻👍🏻老闆親切！羊肉爐又好吃！我覺得我回台灣本島會想念🥹有味道但又不是吃完會口渴上火的火鍋，跟在本島吃得比起來好像比較清淡吧？吃完身體還是暖呼呼，覺得沒啥羊騷味，可能蘭嶼的羊味太濃，這裡相較之下真的沒啥羊騷味，還有老闆跟老闆娘服務很好👍這家真的不推首先跟店家說剛釣魚完回來，頭很暈，想吃清淡點，請他油加少點，菜還是用的很油⋯再來吃高麗菜夾到第三次，發現裡面有頭髮，看了很反胃，跟我女友討論算了，我們自己挑起來放旁邊就好，沒跟店家反應。然後魚湯上來，女友吃第二魚肉，發現魚鱗沒處理乾淨，是怎樣呢，每道菜都做的那麼隨便嗎⋯釣兩隻鯖魚，一隻代客處理，一隻送老闆娘，結果是這等服務，另人留下不好回憶⋯"
ChIJP4ykT6KNbzQRX0BxCqO-MP0,"老闆啊，我們明明有訂炸鬼頭刀肉塊、小卷、鹽酥雞及炸海草2條黑輪共230元.....但怎麼拿到只看到米血地瓜四季豆及鹽酥雞炸海草呢！啊～🥺😭😭😱😫***後續回報***謝謝老闆的誠意，但因為我們隔天就離開綠島了所以不用退還錢給我們，期待下次再光顧時記得再補上大力推薦鬼頭刀肉塊，真的好想吃到啊~😆😆😆❤️在巷子內的一家鹽酥雞店，炸物品項的陳列方式讓人覺得乾淨，人多的話需拿號碼牌，一旁有幾張椅子讓等待餐點的客人不用一直站著。若想嘗試綠島特有的海草元素，這裡有兩種選擇：炸海草和海草膏，前者偏油，一片20元的海草膏個人就蠻愛的，QQ軟軟的帶微微甜和一點點海草獨有的香氣。海鮮的部份點了鬼頭刀魚塊和魷魚，都是新鮮的，沒有奇怪的臭味或不自然的口感。魷魚普通（普通不等於不好吃），吃到鬼頭刀時眼睛就亮了！當天的那份除了熟度控制的非常好，仍帶著水份之外，調味很棒，有起到提味的作用卻不會搶掉太多魚肉本身的風采。註：以上為本人感想，每個人的觀感不同，心得僅供參考。很不錯～在綠島感覺只看到這家炸店大排長龍的坐在提供的椅子我們不小心點太多⋯這樣$225跟本島差不多價格！👍🏻炸海草很神奇的感覺淡淡的味道當作嚐鮮裡面有大量新鮮蒜片😍老闆娘很親切沒有因為很多客人就爆炸爬文說會等蠻久所以先回住宿洗澡回去拿只剩我們了～真是抱歉🧎‍♀️（其實也不算很久20分鐘左右）價格親民但要等粉久～在小巷巷口還蠻明顯的到了直接拿籃子+夾子夾要的食材(鬼頭刀魚和魷魚什麼要的夾一塊=一份，鬼頭刀魚一份約5.6塊左右)夾好交給老闆娘她會給你一個號碼牌可以坐在店對面的小椅子等平日晚上9:00點等了20分鐘左右算蠻久的但因為人也很多啦～吃起來是蠻普通的炸物有加新鮮蒜片鬼頭刀魚吃起來有種粉粉的感覺不太喜歡魷魚圈、青椒還不錯～青椒是炸到嫩嫩水水的很涮嘴～來綠島還是可以吃吃看的老闆娘人滿好的現場人潮洶湧，食材一直補然後馬上就空，點完餐大約要等20分鐘，可以先去買個飲料。口味都不錯，雖然有點油但而且份量偏少，不過有蒜片很加分。"
ChIJATbd8VyNbzQRzbvc7Fx-Rdk,"2個禮拜內已經吃三次了大推鹹酥雞一包60元拿起來就很沉大塊又多汁可以勘稱全台前三名好吃的那種CP值高！！另推芋頭餅上下兩層餅乾跟芋泥內餡搭的恰到好處口感滑順不膩口中間還有流心鹹蛋黃（？芋頭控必點！綠島最好吃的炸雞🍗12隻炸雞腿579元，49元/隻，肉質鮮美多汁，炸皮也酥脆可口，每次來綠島必吃！在綠島能夠吃到有水準的美式炸雞令人感到幸福，炸雞炸好放在保溫櫃中有可能造成雞肉過熟沒有那麼嫩，整體吃起來很棒，讓人想再去買來吃。聞起來有一點奶油味但吃起來沒有感覺到皮很蘇也不會太柴有肉汁，炸皮不會太厚雞腿比腿排貴"
ChIJl0MuWmaNbzQRzEvRH1x9geY,"位在中寮村的早餐店，目前因為疫情所以還是沒開放內用這間的人非常多，可能都要等個一陣子，不過我覺得這間算是綠島上最好吃的早餐店，等個一陣子也還好而已早上很早就開了，而且早上5點多就有些人會來買了到了6點多的時候就排一堆人了，可以看到一群人擠在店前面他們的品項蠻多的，就一般早餐店吃的到的都有海草鮪魚蛋餅還不錯，不過其實吃不太出海草味，海草鮪魚抓餅就把蛋餅變成抓餅這樣不過最有特色的是那個炸蛋吐司就是吐司外面包上蛋液下去炸，然後加了一堆煉乳，吃起來又香又甜，真的很好吃，這在本島也是超好吃的存在蘿蔔糕的話又香又酥軟，也是很好吃的一道奶茶的話就是一般早餐店的奶茶，感覺還好但整體來講的話真的非常滿意，在本島開應該都很有競爭力的早餐店沒錯就是綠島最好吃的早餐，此間是民宿老闆大力推薦，吃過果然沒後悔。菜單內容就跟平常早餐店差不多，最特別是海草鮪魚蔥抓餅、炸彈吐司，也是許多人推薦。7點不到人就非常多，好在有先電話點餐，不然需要等上一些時間。店家速度蠻快的，餐點又可以做的很好吃，這就是他們厲害的地方。好吃！炸彈吐司超推，甜而不膩簡單的煎蛋吐司裡頭蔬菜也是放好放滿很棒建議先打電話，現場等很久（現做）蛋餅皮煎的比較硬（脆），喜歡吃軟Q的可能不太喜歡熱狗煎蛋也大推算是在綠島吃到好吃的東西了海草鮪魚蛋餅餅皮屬於薄皮帶點Ｑ度海草味道淡淡的鮪魚也是很純正味道整體來說吃起來很清爽喜歡吃辣的一定要加他們家的辣椒！蛋餅的餅皮是薄的，海草鮪魚蠻特別，蔥抓餅超好吃，外酥內軟💯我加蛋而已，其他口味應該都不錯👍🏻早餐必點的奶茶表現也不錯，甜而不膩，初次來綠島～這邊的早餐店💯💯💯"
ChIJ86jic06NbzQRpAOh7DbzXc0,"大推飛魚卵泡菜口味蔥抓餅酸甜不膩且微辣的泡菜配上蔥抓餅增多了額外的口感非常值得一試老闆人很可愛👍東西平價，推薦的飛魚卵泡菜很好吃。飛魚卵香腸跟飛魚卵蔥抓餅很特別很好吃哦老闆人超nice的👍超讚！平價又好吃～綠島必吃喔！🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼好吃好吃😋😋😋"
